wallet,train_24h_pnl_usd,train_entries
0xace0a4c087f7f199328fb1e38d8d27bd237b03fd,10825677,42350
0xbf732ea04197942783e34730ed6e0f6099575d58,5260262,68220
0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,4991422,22887
0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,3991244,51921
0xe9c888b87f2c8723a08d105a18bcd5cbb101770f,3357360,24801
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,3281319,19494
0xd985bd504d737c6533335dfa4ad74e571bb3bd88,2799709,37189
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,2486051,9311
0x149277a32f92dcc0c362be7429be83d63e677571,2407014,15665
0x268f52086f04685965e55a09458e51006c7b024e,2193244,16469
0x68a410113fab274d4e66685c1242e289ae76c01a,2185654,95287
0x6a572bb9d31ff710f882f33c21d8ba11a169a887,1977053,29456
0x932bdd2d5e21475e62d2fea8158fc5974507cb1a,1855060,19749
0x08b5cf766ffbc31c129d2733b3f831054cec310c,1821653,26656
0xf17de447fdfa1778db06111e3cbdc878332adab2,1819140,87753
0x4b3cd947eb86a32dadbde2e9a873524615e66c92,1817748,12140
0x15cf9649c5d5f3cde56279c5cef856894110c84f,1735441,24810
0xadc503481f0984a518518b77f7c41cf8eb86d65a,1620489,6292
0x610aec3851d7688c4c8aef3a6173f667e8beef73,1610933,30736
0x06a2b18bc909bd7c7ab80f205c6024a10495e0d9,1573684,4491
0xe60dcdf2648394b6082452707210a23017607738,1534204,37844
0xf1c0dab1ff187f1dc13482cb675f54b8be362a5c,1523804,16348
0x547c8d938b98cd17ab7c653a0d98cca80eabb876,1444745,3949
0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,1433494,28686
0x20b7807939c774a152b396beb704acac68fa10fe,1387449,56116
0x5769dcf760b33a20107b611a53e837d35e94fa0e,1327935,16508
0xc6758a779bccee1ef0190dbe8292fdf44076795d,1283460,2190
0x064e89061ce80cb1b41a2d2963d48d2e8cabde4a,1220143,16280
0x4cb5f4d145cd16460932bbb9b871bb6fd5db97e3,1146242,227159
0xe24c322324e02cdd9989d3092be456e92cde53f2,1143632,5167
0xa85dbdf3b549c10362392aedef9e720acd42d4a0,1129917,10568
0x1b45cb41a0d545f890e423b4b872f6df8a4d710b,1121641,19073
0xc6e7a7632505525268290eca08ee02a3100441c1,1103280,14510
0x9f078f7a29d4d5784a28f5b6e42378a4ad7b16eb,1091099,5980
0xedf3d0775803d74b2a91322cad37be05f4f9cc1e,1051650,11005
0x9bbf40a5cd58a832696c1ae903459c6c2e930150,1014416,14063
0x4ef449822b700e970ce8889807b0cfb22b7ae0ee,999714,11390
0x4aab8988462923ca3cbaa7e94df0cc523817cd64,981844,2403
0xd142c0df4b4f63c4d6afe8b35249162fdf73b73c,905524,13415
0x19e51939ea0528b6bf563097160c5f04504f3923,888195,9883
0x52081a6912cfa64968999fbeb31387446a49b207,874862,16148
0x50fb96edf5161d9dc44f6e9c9a833aa881e3bb29,872078,8433
0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,860064,11301
0x06bc596fb16734f7abc3a5996b580be932c2fb72,833593,29159
0xf533cc7da355efab771f13c482098b9f29bbc8d8,815854,2268
0x4e38e0832fb129d2405ebdb7ec5ea60dfbe26b87,814377,7850
0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,808860,12615
0xda693e31107ab75c3ee87beafcfe0766cc49351f,752193,3569
0xb8e055fa670dcece733fabb326f278998eebfc61,744696,27785
0xe31c865988c9c0401773d5ea04062179662afeea,742598,5152
