rank,wallet,lcb_daily_pnl,raw_net_pnl,capped_pnl_90d,pnl_ex_best_day,best_day_pnl,best_day_share_pct,median_active_day_pnl,active_days,active_day_win_pct,fills,liquidations,prior_t_stat,prior_p_informed,max_drawdown,top_coin,top_coin_notional_share_pct
1,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,3905.60,2319304.42,500272.44,465079.46,35192.98,7.0,3326.43,56,82.1,2811,0,6.517,0.9912,2256.25,BTC,57.1
2,0x266b5569ed3017e74dd48059c6db804e016eefcb,2572.63,1030128.04,360493.09,323080.73,37412.37,10.4,2472.87,54,77.8,15019,0,6.134,0.9882,3214.98,HYPE,48.2
3,0x091144e651b334341eabdbbbfed644ad0100023e,2540.37,1736785.03,323259.65,300253.71,23005.94,7.1,2269.74,77,77.9,132700,0,7.210,0.9992,27809.33,LIT,30.1
4,0xf28e1b06e00e8774c612e31ab3ac35d5a720085f,2341.02,4660067.98,330096.30,286575.57,43520.73,13.2,2186.04,88,75.0,488925,0,4.155,0.8472,21796.07,ZEC,22.0
5,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,1532.89,3192904.47,382510.54,236222.68,146287.87,38.2,3132.55,66,80.3,21289,0,8.285,0.9999,13892.89,HYPE,98.1
6,0xac26cf5f3c46b5e102048c65b977d2551b72a9c7,1434.26,516294.04,239703.28,192157.22,47546.06,19.8,1136.03,68,97.1,3026,0,5.391,0.9720,2020.40,HYPE,27.6
7,0xce5667f7194c4d9320acd28f1ee8b3d2adbdb27e,1039.32,275728.85,180791.82,152813.89,27977.93,15.5,184.10,43,62.8,4832,0,4.507,0.8246,3443.61,HYPE,68.8
8,0xa8cbf4200595efcd94b7526d04deafe0f284af2d,1035.80,182065.66,157144.48,136598.81,20545.67,13.1,1058.63,50,64.0,6291,0,5.404,0.9492,4309.37,MORPHO,91.9
9,0xe17cf192fee50447687af1f689782d4abba8cbb1,989.14,373143.40,127460.70,118803.10,8657.60,6.8,1032.48,89,69.7,19685,0,4.343,0.8680,10321.30,HYPE,43.0
10,0x4101ce19ee81f24da894976e585f1e79119dbd93,812.50,107348.37,106991.42,93125.47,13865.96,13.0,981.01,65,76.9,574,0,5.146,0.9556,705.95,HYPE,48.8
11,0xa180e7a0dd22d55e09a4c439e7bb2ae3c91dc0b7,781.26,161356.75,111236.16,94427.48,16808.68,15.1,191.41,90,64.4,23488,0,4.937,0.9474,4737.15,HYPE,23.7
12,0xb27bbaadcdfeab937069b4d966ee6bf5a32c999b,694.10,136164.31,96640.03,85587.58,11052.45,11.4,435.82,66,63.6,4512,0,4.267,0.8423,2029.69,HYPE,19.8
13,0x07fd993f0fa3a185f7207adccd29f7a87404689d,686.66,757771.34,95396.88,87402.97,7993.91,8.4,954.91,90,70.0,266047,0,5.429,0.9760,16086.46,HYPE,16.0
14,0x5d9d19a3e5005225f13780fa10c198f87816670d,616.69,147902.23,84644.73,74546.86,10097.87,11.9,472.05,75,65.3,3510,0,5.033,0.9490,4754.26,HYPE,67.5
15,0xad59ed47c226987cf458a63428ca10887773ba81,495.75,129805.78,65068.80,58082.73,6986.07,10.7,218.56,74,67.6,4873,0,5.987,0.9898,64.91,ZEC,25.5
